epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,23271.1,0.54357,0.27416,0.80364,1,1,0.995,0.995,0.214,0.10627,0.71951,0.00599306,0.00599306,0.00599306
47,23782.4,0.54057,0.27192,0.80463,1,1,0.995,0.995,0.21404,0.10003,0.71966,0.00584533,0.00584533,0.00584533
48,24295.7,0.53853,0.27179,0.80365,1,1,0.995,0.995,0.20966,0.10086,0.71942,0.00569701,0.00569701,0.00569701
49,24807.5,0.53848,0.27094,0.80365,1,1,0.995,0.995,0.20819,0.09941,0.71925,0.00554825,0.00554825,0.00554825
50,25323.4,0.53404,0.26773,0.80165,1,1,0.995,0.995,0.20525,0.10135,0.71974,0.0053992,0.0053992,0.0053992
51,25847.2,0.53017,0.26568,0.80078,1,1,0.995,0.995,0.20655,0.10296,0.71995,0.00525,0.00525,0.00525
52,26380.2,0.53342,0.26913,0.80337,1,1,0.995,0.995,0.20669,0.11016,0.72033,0.0051008,0.0051008,0.0051008
53,26907.4,0.53097,0.26691,0.80227,1,1,0.995,0.995,0.2032,0.11376,0.72005,0.00495175,0.00495175,0.00495175
54,27440.1,0.52901,0.26502,0.80348,1,1,0.995,0.995,0.20638,0.10649,0.7192,0.00480299,0.00480299,0.00480299
55,27968.7,0.52552,0.2626,0.80111,1,1,0.995,0.995,0.20414,0.10371,0.71923,0.00465467,0.00465467,0.00465467
56,28499.6,0.52339,0.26072,0.80105,1,1,0.995,0.995,0.20246,0.11188,0.71921,0.00450694,0.00450694,0.00450694
57,29021.9,0.5245,0.26093,0.80349,1,1,0.995,0.995,0.20168,0.10093,0.71877,0.00435994,0.00435994,0.00435994
58,29523.3,0.51593,0.2578,0.79971,1,1,0.995,0.995,0.20008,0.1094,0.71889,0.00421382,0.00421382,0.00421382
59,30023.9,0.51828,0.25772,0.80042,1,1,0.995,0.995,0.2029,0.11223,0.71878,0.00406872,0.00406872,0.00406872
60,30521.7,0.51692,0.25768,0.80026,1,1,0.995,0.995,0.20356,0.11291,0.71892,0.00392479,0.00392479,0.00392479
61,31017.1,0.51053,0.25429,0.79845,1,1,0.995,0.995,0.20591,0.11517,0.71901,0.00378217,0.00378217,0.00378217
62,31511.7,0.50596,0.25248,0.79803,1,1,0.995,0.995,0.20591,0.11518,0.719,0.00364099,0.00364099,0.00364099
63,32005.2,0.50644,0.25204,0.79823,1,1,0.995,0.995,0.20494,0.11394,0.71894,0.00350141,0.00350141,0.00350141
64,32502.3,0.50735,0.24984,0.79839,1,1,0.995,0.995,0.2056,0.11462,0.71904,0.00336355,0.00336355,0.00336355
65,32995.9,0.50184,0.24893,0.79682,1,1,0.995,0.995,0.20624,0.11553,0.71892,0.00322755,0.00322755,0.00322755
66,33489.4,0.50221,0.24891,0.79779,1,1,0.995,0.995,0.20393,0.11249,0.71901,0.00309355,0.00309355,0.00309355
67,33978.9,0.49565,0.24585,0.797,1,1,0.995,0.995,0.2037,0.10534,0.71906,0.00296167,0.00296167,0.00296167
68,34477.8,0.49956,0.24581,0.79711,1,1,0.995,0.995,0.1995,0.10195,0.71897,0.00283205,0.00283205,0.00283205
69,34976.5,0.49298,0.24266,0.79555,1,1,0.995,0.995,0.2018,0.1088,0.71936,0.00270482,0.00270482,0.00270482
70,35473.5,0.49561,0.24378,0.79565,1,1,0.995,0.995,0.20244,0.10881,0.71933,0.0025801,0.0025801,0.0025801
