epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,525.381,1.06182,0.8115,0.92349,0.98171,1,0.995,0.8955,0.45248,0.25934,0.77912,0.00333002,0.00333002,0.00333002
2,1029.07,1.11433,0.59688,0.93261,0.90866,1,0.995,0.8955,0.77247,1.03048,0.85368,0.00663037,0.00663037,0.00663037
3,1527.73,1.16782,0.63813,0.94826,0.9781,1,0.995,0.8955,0.71245,0.36821,0.82536,0.00989772,0.00989772,0.00989772
4,2025.86,1.13228,0.62104,0.94042,0.97996,1,0.995,0.995,0.4195,0.29876,0.77385,0.0098515,0.0098515,0.0098515
5,2524.51,1.04383,0.55593,0.92033,0.97958,1,0.995,0.8955,0.61453,0.36718,0.81518,0.009802,0.009802,0.009802
6,3023.25,0.99303,0.5245,0.90734,0.97953,1,0.995,0.9535,0.5104,0.36789,0.78695,0.0097525,0.0097525,0.0097525
7,3522.57,0.96528,0.50551,0.9007,0.98079,1,0.995,0.82585,0.64838,0.35597,0.81421,0.009703,0.009703,0.009703
8,4020.91,0.93486,0.48845,0.8954,1,1,0.995,0.8955,0.4934,0.2604,0.76546,0.0096535,0.0096535,0.0096535
9,4519.84,0.91177,0.47383,0.88849,0.97962,1,0.995,0.92535,0.5218,0.21546,0.79,0.009604,0.009604,0.009604
10,5018.81,0.89683,0.46383,0.88674,1,1,0.995,0.8955,0.41559,0.27437,0.76501,0.0095545,0.0095545,0.0095545
11,5517.93,0.87967,0.45523,0.88132,0.98126,1,0.995,0.8506,0.59715,0.30096,0.7982,0.009505,0.009505,0.009505
12,6016.29,0.87288,0.44913,0.88096,0.97999,1,0.995,0.8955,0.67704,0.25186,0.80317,0.0094555,0.0094555,0.0094555
13,6513.85,0.85977,0.44089,0.87711,0.981,1,0.995,0.8955,0.5316,0.2576,0.76873,0.009406,0.009406,0.009406
14,7010.05,0.84749,0.43487,0.87279,0.98041,1,0.995,0.8955,0.58441,0.26815,0.78968,0.0093565,0.0093565,0.0093565
15,7499.47,0.83603,0.43024,0.8722,0.98133,1,0.995,0.8955,0.52319,0.24643,0.7822,0.009307,0.009307,0.009307
16,7986.68,0.83017,0.42428,0.86824,1,1,0.995,0.8955,0.50552,0.22501,0.7726,0.0092575,0.0092575,0.0092575
17,8473.45,0.82415,0.41974,0.86754,1,1,0.995,0.8955,0.49363,0.21429,0.76197,0.009208,0.009208,0.009208
18,8963.5,0.81336,0.41694,0.86763,1,1,0.995,0.933,0.46706,0.19784,0.76211,0.0091585,0.0091585,0.0091585
19,9453.37,0.80186,0.41168,0.86263,1,1,0.995,0.8955,0.43952,0.18801,0.75283,0.009109,0.009109,0.009109
20,9943.94,0.80077,0.4105,0.86214,1,1,0.995,0.8955,0.46607,0.21969,0.76089,0.0090595,0.0090595,0.0090595
21,10433.1,0.79255,0.40651,0.86019,1,1,0.995,0.933,0.49891,0.23418,0.76596,0.00901,0.00901,0.00901
22,10922,0.78716,0.40381,0.85827,1,1,0.995,0.933,0.41643,0.18293,0.76164,0.0089605,0.0089605,0.0089605
23,11409.8,0.77963,0.40019,0.85504,1,1,0.995,0.933,0.38185,0.20876,0.75604,0.008911,0.008911,0.008911
24,11898.2,0.7761,0.39751,0.85515,0.98124,1,0.995,0.92875,0.46572,0.19459,0.76357,0.0088615,0.0088615,0.0088615
25,12387.6,0.76514,0.39408,0.85115,1,1,0.995,0.8955,0.54561,0.22415,0.77865,0.008812,0.008812,0.008812
26,12883.5,0.76158,0.3917,0.85253,0.98104,1,0.995,0.92875,0.4207,0.19356,0.75816,0.0087625,0.0087625,0.0087625
27,13382.9,0.75542,0.38907,0.84915,0.98098,1,0.995,0.9535,0.41526,0.17417,0.75173,0.008713,0.008713,0.008713
28,13882.6,0.75015,0.38444,0.84887,1,1,0.995,0.8955,0.54229,0.19732,0.77765,0.0086635,0.0086635,0.0086635
29,14382.3,0.75174,0.3838,0.84757,1,1,0.995,0.933,0.56233,0.21866,0.78188,0.008614,0.008614,0.008614
30,14883.2,0.75097,0.38187,0.84822,1,1,0.995,0.95775,0.46298,0.18665,0.76038,0.0085645,0.0085645,0.0085645
31,15385.6,0.7388,0.37997,0.84637,0.98114,1,0.995,0.92875,0.41705,0.16889,0.74833,0.008515,0.008515,0.008515
32,15880.5,0.73632,0.37611,0.84361,1,1,0.995,0.933,0.47464,0.20649,0.76322,0.0084655,0.0084655,0.0084655
33,16367.8,0.72697,0.37436,0.84161,1,1,0.995,0.933,0.39812,0.17942,0.7471,0.008416,0.008416,0.008416
34,16854.1,0.72604,0.37363,0.84264,1,1,0.995,0.933,0.38648,0.17962,0.74766,0.0083665,0.0083665,0.0083665
35,17343.6,0.72866,0.37131,0.84373,1,1,0.995,0.933,0.39951,0.18049,0.75156,0.008317,0.008317,0.008317
36,17834.6,0.71634,0.36792,0.8404,1,1,0.995,0.933,0.38385,0.18585,0.75346,0.0082675,0.0082675,0.0082675
37,18323.8,0.71157,0.36458,0.84098,1,1,0.995,0.95775,0.35789,0.16521,0.74822,0.008218,0.008218,0.008218
38,18810.3,0.72153,0.36497,0.84135,1,1,0.995,0.933,0.35669,0.16359,0.74731,0.0081685,0.0081685,0.0081685
39,19295.6,0.70861,0.36159,0.83763,1,1,0.995,0.933,0.3743,0.16555,0.74934,0.008119,0.008119,0.008119
40,19781.3,0.70527,0.35814,0.83775,1,1,0.995,0.933,0.33183,0.13828,0.74332,0.0080695,0.0080695,0.0080695
41,20265.4,0.70438,0.35957,0.83707,1,1,0.995,0.933,0.31332,0.14154,0.73949,0.00802,0.00802,0.00802
42,20750.4,0.69889,0.35468,0.83664,1,1,0.995,0.933,0.32815,0.15051,0.74015,0.0079705,0.0079705,0.0079705
43,21234.6,0.69515,0.3553,0.83334,1,1,0.995,0.933,0.32105,0.14369,0.73897,0.007921,0.007921,0.007921
44,21720.2,0.6917,0.35206,0.83398,1,1,0.995,0.933,0.32099,0.13836,0.7364,0.0078715,0.0078715,0.0078715
45,22204.7,0.69203,0.35154,0.8341,1,1,0.995,0.933,0.30949,0.15795,0.73485,0.007822,0.007822,0.007822
46,22688,0.68891,0.35002,0.83356,1,1,0.995,0.933,0.30097,0.14782,0.73301,0.0077725,0.0077725,0.0077725
47,23172.8,0.68225,0.34726,0.83278,1,1,0.995,0.933,0.30156,0.16007,0.73331,0.007723,0.007723,0.007723
48,23666,0.67919,0.34875,0.8312,1,1,0.995,0.933,0.30918,0.15517,0.73394,0.0076735,0.0076735,0.0076735
49,24161.2,0.68178,0.34451,0.83182,1,1,0.995,0.933,0.30215,0.15414,0.73391,0.007624,0.007624,0.007624
50,24657,0.6725,0.34145,0.82969,1,1,0.995,0.933,0.30485,0.16141,0.73378,0.0075745,0.0075745,0.0075745
51,25152,0.67344,0.34082,0.83227,1,1,0.995,0.933,0.30597,0.16602,0.7343,0.007525,0.007525,0.007525
52,25646.6,0.67172,0.34061,0.82775,1,1,0.995,0.933,0.30382,0.17142,0.73551,0.0074755,0.0074755,0.0074755
53,26142.3,0.66297,0.33876,0.82833,1,1,0.995,0.933,0.31262,0.18325,0.73544,0.007426,0.007426,0.007426
54,26637,0.66939,0.34022,0.82814,1,1,0.995,0.933,0.3166,0.16928,0.73565,0.0073765,0.0073765,0.0073765
55,27132.4,0.65723,0.33319,0.82653,1,1,0.995,0.933,0.32144,0.17695,0.73581,0.007327,0.007327,0.007327
56,27627.4,0.66001,0.33383,0.82687,1,1,0.995,0.933,0.31683,0.16738,0.73534,0.0072775,0.0072775,0.0072775
57,28122.8,0.65616,0.33403,0.82548,1,1,0.995,0.933,0.32027,0.15608,0.73529,0.007228,0.007228,0.007228
58,28617.8,0.65466,0.33495,0.82546,1,1,0.995,0.933,0.31673,0.15013,0.7356,0.0071785,0.0071785,0.0071785
59,29113.8,0.65681,0.33252,0.82652,1,1,0.995,0.933,0.3172,0.16013,0.73548,0.007129,0.007129,0.007129
60,29613.7,0.6525,0.33241,0.82543,1,1,0.995,0.933,0.32131,0.1605,0.73547,0.0070795,0.0070795,0.0070795
61,30116.2,0.65032,0.32951,0.82324,1,1,0.995,0.933,0.31781,0.15792,0.73548,0.00703,0.00703,0.00703
62,30618.9,0.64152,0.32791,0.82132,1,1,0.995,0.933,0.31471,0.15916,0.73564,0.0069805,0.0069805,0.0069805
63,31120.5,0.6425,0.32801,0.82427,1,1,0.995,0.933,0.31911,0.15356,0.73596,0.006931,0.006931,0.006931
64,31628.3,0.64433,0.32702,0.8232,1,1,0.995,0.933,0.32399,0.15527,0.73603,0.0068815,0.0068815,0.0068815
65,32154.3,0.64026,0.32391,0.82337,1,1,0.995,0.933,0.3259,0.16685,0.73638,0.006832,0.006832,0.006832
66,32699.4,0.63816,0.32526,0.82341,1,1,0.995,0.933,0.32613,0.16019,0.73658,0.0067825,0.0067825,0.0067825
67,33234.7,0.63436,0.32134,0.82138,1,1,0.995,0.933,0.33234,0.15522,0.73655,0.006733,0.006733,0.006733
68,33748.6,0.63312,0.32117,0.82166,1,1,0.995,0.933,0.32954,0.15244,0.73638,0.0066835,0.0066835,0.0066835
69,34265.1,0.62847,0.32005,0.82006,1,1,0.995,0.933,0.32954,0.15256,0.73648,0.006634,0.006634,0.006634
70,34850.6,0.62713,0.31855,0.82103,1,1,0.995,0.933,0.33005,0.15294,0.73655,0.0065845,0.0065845,0.0065845
71,35475,0.63101,0.3175,0.82164,1,1,0.995,0.933,0.3271,0.15499,0.7369,0.006535,0.006535,0.006535
72,36171.9,0.62904,0.31892,0.81968,1,1,0.995,0.933,0.32485,0.15851,0.73683,0.0064855,0.0064855,0.0064855
73,36741.9,0.62968,0.31771,0.81975,1,1,0.995,0.933,0.32438,0.14521,0.73699,0.006436,0.006436,0.006436
74,37322.1,0.6232,0.31597,0.81983,1,1,0.995,0.933,0.32335,0.15501,0.73635,0.0063865,0.0063865,0.0063865
75,532.128,0.62515,0.31437,0.8213,1,1,0.995,0.933,0.32082,0.15272,0.73631,0.006337,0.006337,0.006337
76,1094.07,0.62781,0.31724,0.82144,1,1,0.995,0.933,0.31605,0.15512,0.73641,0.0062875,0.0062875,0.0062875
77,1885.11,0.63408,0.31873,0.82424,1,1,0.995,0.933,0.31891,0.15323,0.73612,0.006238,0.006238,0.006238
78,2584.57,0.63329,0.31999,0.82151,1,1,0.995,0.933,0.31943,0.15419,0.73613,0.0061885,0.0061885,0.0061885
79,3137.62,0.62753,0.31721,0.82147,1,1,0.995,0.933,0.31673,0.15104,0.73591,0.006139,0.006139,0.006139
80,3800.03,0.62904,0.31738,0.82047,1,1,0.995,0.933,0.31467,0.1555,0.73608,0.0060895,0.0060895,0.0060895
81,4537.61,0.62853,0.32001,0.82058,1,1,0.995,0.933,0.31964,0.15662,0.7357,0.00604,0.00604,0.00604
82,568.202,0.61636,0.31123,0.81929,1,1,0.995,0.933,0.31957,0.15641,0.73577,0.0059905,0.0059905,0.0059905
83,1130.12,0.62179,0.31509,0.81915,1,1,0.995,0.933,0.31879,0.15557,0.73578,0.005941,0.005941,0.005941
84,705.433,0.62762,0.31567,0.82151,1,1,0.995,0.933,0.32442,0.15167,0.73581,0.0058915,0.0058915,0.0058915
85,1371.79,0.63687,0.32072,0.8217,1,1,0.995,0.933,0.31802,0.15707,0.73599,0.005842,0.005842,0.005842
86,2050.59,0.64026,0.32099,0.82175,1,1,0.995,0.933,0.31854,0.14247,0.73654,0.0057925,0.0057925,0.0057925
87,2743.7,0.63566,0.32082,0.82178,1,1,0.995,0.933,0.3138,0.16109,0.73766,0.005743,0.005743,0.005743
88,3400.82,0.63396,0.32123,0.82335,1,1,0.995,0.933,0.31688,0.15226,0.73681,0.0056935,0.0056935,0.0056935
89,4074.15,0.63834,0.32121,0.82251,1,1,0.995,0.933,0.30768,0.12992,0.73635,0.005644,0.005644,0.005644
90,4736.45,0.63737,0.31846,0.82047,1,1,0.995,0.933,0.31174,0.13261,0.73622,0.0055945,0.0055945,0.0055945
91,5418.96,0.62957,0.31879,0.82106,1,1,0.995,0.933,0.3101,0.14328,0.73543,0.005545,0.005545,0.005545
92,6081.8,0.63117,0.31718,0.82089,1,1,0.995,0.933,0.31277,0.14532,0.73521,0.0054955,0.0054955,0.0054955
93,6787.7,0.623,0.31537,0.81888,1,1,0.995,0.933,0.30944,0.14177,0.73476,0.005446,0.005446,0.005446
94,7425.78,0.62928,0.31856,0.81874,1,1,0.995,0.933,0.30857,0.14119,0.73458,0.0053965,0.0053965,0.0053965
95,8052.97,0.62454,0.3165,0.81881,1,1,0.995,0.933,0.31032,0.14993,0.7345,0.005347,0.005347,0.005347
96,8653.88,0.62177,0.31316,0.81883,1,1,0.995,0.933,0.31147,0.13873,0.73406,0.0052975,0.0052975,0.0052975
97,9274.12,0.62125,0.31219,0.81826,1,1,0.995,0.933,0.30827,0.14145,0.73413,0.005248,0.005248,0.005248
98,9859.96,0.61346,0.31069,0.81897,1,1,0.995,0.933,0.31113,0.14373,0.73373,0.0051985,0.0051985,0.0051985
99,10434.6,0.62338,0.31322,0.81708,1,1,0.995,0.933,0.30628,0.13873,0.73332,0.005149,0.005149,0.005149
100,11052.4,0.61676,0.3098,0.81716,1,1,0.995,0.933,0.30086,0.14073,0.73284,0.0050995,0.0050995,0.0050995
101,11689.8,0.60948,0.30766,0.81604,1,1,0.995,0.933,0.30224,0.14122,0.73244,0.00505,0.00505,0.00505
102,12304.3,0.61235,0.30883,0.8157,1,1,0.995,0.933,0.3041,0.14325,0.73247,0.0050005,0.0050005,0.0050005
103,12904.7,0.60856,0.30683,0.81696,1,1,0.995,0.933,0.29997,0.14657,0.73245,0.004951,0.004951,0.004951
104,13493,0.60793,0.30571,0.81541,1,1,0.995,0.933,0.29676,0.14933,0.73243,0.0049015,0.0049015,0.0049015
105,14082.8,0.61496,0.30875,0.81795,1,1,0.995,0.933,0.30301,0.16467,0.73264,0.004852,0.004852,0.004852
106,14672.6,0.60727,0.30635,0.81483,1,1,0.995,0.933,0.30288,0.169,0.73287,0.0048025,0.0048025,0.0048025
107,15260.1,0.60497,0.30201,0.81621,1,1,0.995,0.933,0.29958,0.16559,0.73278,0.004753,0.004753,0.004753
108,15849.9,0.60633,0.30482,0.81635,1,1,0.995,0.933,0.29927,0.1626,0.73322,0.0047035,0.0047035,0.0047035
109,16441.4,0.60315,0.3026,0.8142,1,1,0.995,0.933,0.29802,0.16602,0.73349,0.004654,0.004654,0.004654
110,17021.2,0.60616,0.30245,0.81497,1,1,0.995,0.933,0.29942,0.16478,0.73332,0.0046045,0.0046045,0.0046045
111,17606.5,0.60195,0.30161,0.81533,1,1,0.995,0.933,0.29656,0.15744,0.73264,0.004555,0.004555,0.004555
112,18193.9,0.60109,0.30142,0.81431,1,1,0.995,0.933,0.29761,0.15407,0.73257,0.0045055,0.0045055,0.0045055
113,18768.7,0.60253,0.30001,0.81318,1,1,0.995,0.933,0.30506,0.1404,0.73208,0.004456,0.004456,0.004456
114,19342,0.59392,0.30042,0.81329,1,1,0.995,0.933,0.30241,0.13487,0.73156,0.0044065,0.0044065,0.0044065
115,19919.7,0.59962,0.30028,0.81261,1,1,0.995,0.933,0.29972,0.13688,0.73123,0.004357,0.004357,0.004357
116,20495.4,0.59419,0.29711,0.81225,1,1,0.995,0.933,0.2988,0.13639,0.73123,0.0043075,0.0043075,0.0043075
117,21074.6,0.58825,0.29508,0.81094,1,1,0.995,0.933,0.29833,0.13811,0.73095,0.004258,0.004258,0.004258
118,21649.3,0.58768,0.29443,0.81104,1,1,0.995,0.933,0.29831,0.14043,0.73102,0.0042085,0.0042085,0.0042085
119,22226.9,0.58707,0.29451,0.81175,1,1,0.995,0.933,0.29933,0.15045,0.73109,0.004159,0.004159,0.004159
120,22805,0.58348,0.2913,0.81073,1,1,0.995,0.933,0.29947,0.1427,0.73051,0.0041095,0.0041095,0.0041095
121,23398.2,0.58667,0.29258,0.81275,1,1,0.995,0.933,0.29869,0.13976,0.73049,0.00406,0.00406,0.00406
122,23990.8,0.58234,0.29174,0.81152,1,1,0.995,0.933,0.29962,0.14392,0.7307,0.0040105,0.0040105,0.0040105
123,24592.3,0.57844,0.29121,0.80893,1,1,0.995,0.933,0.30152,0.13697,0.73075,0.003961,0.003961,0.003961
124,25192.9,0.58513,0.29399,0.81134,1,1,0.995,0.933,0.30295,0.13696,0.73065,0.0039115,0.0039115,0.0039115
125,25791.1,0.57987,0.292,0.80976,1,1,0.995,0.933,0.29835,0.17149,0.73144,0.003862,0.003862,0.003862
126,26384.9,0.57174,0.2862,0.80866,1,1,0.995,0.933,0.3003,0.15732,0.73113,0.0038125,0.0038125,0.0038125
127,26964.3,0.57701,0.28776,0.81005,1,1,0.995,0.995,0.2988,0.16011,0.73098,0.003763,0.003763,0.003763
128,27537.8,0.57698,0.2882,0.8099,1,1,0.995,0.995,0.29756,0.1479,0.73064,0.0037135,0.0037135,0.0037135
129,28110.5,0.57099,0.28404,0.8093,1,1,0.995,0.995,0.29462,0.15888,0.73094,0.003664,0.003664,0.003664
130,28698.9,0.57425,0.28478,0.80945,1,1,0.995,0.995,0.29537,0.14858,0.7306,0.0036145,0.0036145,0.0036145
131,29284.4,0.57324,0.28665,0.80955,1,1,0.995,0.995,0.29241,0.14903,0.73032,0.003565,0.003565,0.003565
132,29872.4,0.56685,0.28436,0.8082,1,1,0.995,0.995,0.28968,0.16052,0.73059,0.0035155,0.0035155,0.0035155
133,30463.6,0.56574,0.28226,0.81012,1,1,0.995,0.995,0.29018,0.14975,0.72997,0.003466,0.003466,0.003466
134,31045.3,0.56471,0.27996,0.80725,1,1,0.995,0.995,0.28778,0.13517,0.72963,0.0034165,0.0034165,0.0034165
135,31628.3,0.56997,0.28248,0.81139,1,1,0.995,0.995,0.28562,0.13286,0.72941,0.003367,0.003367,0.003367
136,32209.6,0.56234,0.28143,0.80841,1,1,0.995,0.995,0.28718,0.13836,0.72915,0.0033175,0.0033175,0.0033175
137,32795,0.56617,0.27993,0.80943,1,1,0.995,0.995,0.28041,0.15528,0.7296,0.003268,0.003268,0.003268
138,33378.5,0.56015,0.27782,0.80743,1,1,0.995,0.995,0.2835,0.16431,0.72991,0.0032185,0.0032185,0.0032185
139,33960.2,0.55722,0.27722,0.80655,1,1,0.995,0.995,0.28267,0.17052,0.73045,0.003169,0.003169,0.003169
140,34548.2,0.55727,0.27836,0.8073,1,1,0.995,0.995,0.28654,0.14423,0.73007,0.0031195,0.0031195,0.0031195
141,35134,0.56199,0.27946,0.80624,1,1,0.995,0.995,0.2804,0.15188,0.73039,0.00307,0.00307,0.00307
142,35724.8,0.55823,0.27738,0.80748,1,1,0.995,0.995,0.28682,0.13889,0.72954,0.0030205,0.0030205,0.0030205
143,36314.7,0.55622,0.27641,0.80648,1,1,0.995,0.995,0.28325,0.14348,0.72949,0.002971,0.002971,0.002971
144,36900.7,0.55525,0.27621,0.80651,1,1,0.995,0.995,0.28602,0.14914,0.72953,0.0029215,0.0029215,0.0029215
145,37482.2,0.55446,0.27616,0.8064,1,1,0.995,0.995,0.28143,0.13587,0.72915,0.002872,0.002872,0.002872
