epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,24024.7,0.6488,0.32871,0.82549,1,1,0.995,0.995,0.22828,0.12861,0.78119,0.005347,0.005347,0.005347
49,24521.4,0.64298,0.32536,0.82384,1,1,0.995,0.995,0.22504,0.12527,0.78127,0.005248,0.005248,0.005248
50,25025.1,0.64113,0.32172,0.82249,1,1,0.995,0.995,0.22421,0.12904,0.7809,0.005149,0.005149,0.005149
51,25524.2,0.63238,0.31746,0.82116,1,1,0.995,0.995,0.21011,0.12488,0.78043,0.00505,0.00505,0.00505
52,26019.4,0.63857,0.32163,0.82373,1,1,0.995,0.995,0.21249,0.11347,0.78025,0.004951,0.004951,0.004951
53,26510.2,0.6336,0.32008,0.8222,1,1,0.995,0.995,0.21059,0.12408,0.77992,0.004852,0.004852,0.004852
54,27004.7,0.62506,0.31576,0.82117,1,1,0.995,0.995,0.21215,0.12616,0.77953,0.004753,0.004753,0.004753
55,27495.8,0.62882,0.31556,0.82107,1,1,0.995,0.995,0.20898,0.12295,0.77888,0.004654,0.004654,0.004654
56,27987.2,0.62324,0.31333,0.82036,1,1,0.995,0.995,0.20712,0.16022,0.7788,0.004555,0.004555,0.004555
57,28480.2,0.61867,0.31082,0.8209,1,1,0.995,0.995,0.19379,0.11808,0.77821,0.004456,0.004456,0.004456
58,28970.4,0.61089,0.30671,0.81733,1,1,0.995,0.995,0.19649,0.11752,0.7779,0.004357,0.004357,0.004357
59,29463.3,0.61499,0.30672,0.81917,1,1,0.995,0.995,0.19419,0.11447,0.77756,0.004258,0.004258,0.004258
60,29955.8,0.6096,0.30604,0.81732,1,1,0.995,0.995,0.19354,0.11449,0.7774,0.004159,0.004159,0.004159
61,30445.2,0.60936,0.3051,0.81618,1,1,0.995,0.995,0.19685,0.11744,0.77719,0.00406,0.00406,0.00406
62,30938.9,0.59944,0.30172,0.81578,1,1,0.995,0.995,0.19506,0.11597,0.77705,0.003961,0.003961,0.003961
63,31430.3,0.59894,0.30024,0.81429,1,1,0.995,0.995,0.19506,0.11542,0.77706,0.003862,0.003862,0.003862
64,31919.7,0.6014,0.3008,0.81551,1,1,0.995,0.995,0.19623,0.11714,0.77693,0.003763,0.003763,0.003763
65,32413.1,0.59251,0.29621,0.81267,1,1,0.995,0.995,0.19633,0.11782,0.77679,0.003664,0.003664,0.003664
66,32903.9,0.59223,0.29666,0.81389,1,1,0.995,0.995,0.1934,0.11376,0.77659,0.003565,0.003565,0.003565
67,33395.1,0.58553,0.29454,0.81267,1,1,0.995,0.995,0.19181,0.13932,0.77636,0.003466,0.003466,0.003466
68,33888.8,0.58822,0.29119,0.81248,1,1,0.995,0.995,0.19164,0.15143,0.77633,0.003367,0.003367,0.003367
69,34383.2,0.58013,0.28908,0.81064,1,1,0.995,0.995,0.19055,0.12555,0.77632,0.003268,0.003268,0.003268
70,34885.4,0.58372,0.28921,0.81126,1,1,0.995,0.995,0.18717,0.12252,0.77613,0.003169,0.003169,0.003169
71,35384.2,0.57459,0.28782,0.80999,1,1,0.995,0.995,0.18727,0.10847,0.77591,0.00307,0.00307,0.00307
72,35881.2,0.57462,0.28749,0.81185,1,1,0.995,0.995,0.18583,0.12015,0.77558,0.002971,0.002971,0.002971
73,36373.8,0.57245,0.2847,0.81018,1,1,0.995,0.995,0.18087,0.11439,0.77547,0.002872,0.002872,0.002872
74,36863.6,0.57161,0.28351,0.81121,1,1,0.995,0.995,0.17448,0.11394,0.77526,0.002773,0.002773,0.002773
75,37356.9,0.56424,0.27987,0.80803,1,1,0.995,0.995,0.16895,0.10854,0.77509,0.002674,0.002674,0.002674
76,37845.7,0.55932,0.27855,0.80765,1,1,0.995,0.995,0.16927,0.12261,0.77483,0.002575,0.002575,0.002575
77,38333.3,0.56032,0.27717,0.80728,1,1,0.995,0.995,0.16505,0.10414,0.77461,0.002476,0.002476,0.002476
78,38824.9,0.55728,0.27717,0.80612,1,1,0.995,0.995,0.15761,0.10936,0.77444,0.002377,0.002377,0.002377
79,39314,0.55481,0.27543,0.80683,1,1,0.995,0.995,0.14912,0.10121,0.77424,0.002278,0.002278,0.002278
80,39804,0.55113,0.27238,0.8059,1,1,0.995,0.995,0.1407,0.11796,0.77402,0.002179,0.002179,0.002179
81,40298.1,0.54802,0.27152,0.80623,1,1,0.995,0.995,0.13053,0.09299,0.77383,0.00208,0.00208,0.00208
82,40793.2,0.54416,0.26817,0.80769,1,1,0.995,0.995,0.12671,0.10192,0.77357,0.001981,0.001981,0.001981
83,41287.3,0.54496,0.26899,0.80525,1,1,0.995,0.995,0.12355,0.09762,0.77346,0.001882,0.001882,0.001882
84,41781.7,0.53814,0.26582,0.8041,1,1,0.995,0.995,0.12219,0.09619,0.77334,0.001783,0.001783,0.001783
