epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,552.811,0.49154,0.23699,0.79853,1,1,0.995,0.995,0.25515,0.13476,0.72468,0.00333068,0.00333068,0.00333068
2,1068.17,0.52638,0.26192,0.80064,1,1,0.995,0.995,0.28827,0.15249,0.7299,0.00660404,0.00660404,0.00660404
3,1581.45,0.5869,0.29834,0.81031,1,1,0.995,0.995,0.28675,0.15631,0.729,0.0098174,0.0098174,0.0098174
4,2097.16,0.65529,0.33659,0.82657,0.9814,1,0.995,0.92662,0.31692,0.17749,0.73448,0.00973,0.00973,0.00973
